item_id,item_name,total_revenue,revenue_contribution_pct
9195739,Google Dino Game Tee,520.0,0.17
9196608,Google Badge Heavyweight Pullover Black,506.0,0.16
9196731,Google Cotopaxi Shell,504.0,0.16
9195199,Google F/C Longsleeve Charcoal,498.0,0.16
9196737,Google Felt Refillable Journal,494.0,0.16
9196631,Google Navy Speckled Tee,492.0,0.16
9195738,Google Dino Game Tee,488.0,0.16
9195548,Android Buoy Bottle,487.0,0.16
9188197,Google See-No Hear-No Set,485.0,0.16
9196846,Android Iconic Notebook,484.0,0.16
9196756,Google Men's Puff Jacket Black,483.0,0.16
9195549,Google Unisex Eco Tee Black,482.0,0.16
9196977,Google Chicago Campus Mug,482.0,0.16
9196656,Google Raincoat Navy,480.0,0.16
9197568,Google PNW Campus Bottle,469.0,0.15
9195825,YouTube Standards Zip Hoodie Black,468.0,0.15
9195552,Google Unisex Eco Tee Black,463.0,0.15
9188210,Google Mesh Bag Red,461.0,0.15
9196760,Google Women's Puff Jacket Black,460.0,0.15
9196801,Android Iconic Glass Bottle Green,460.0,0.15
9196832,Android Pocket Onesie Navy,459.0,0.15
9197457,Google Super G Tumbler (Blue Lid),458.0,0.15
9196646,Google Sherpa Zip Hoodie Navy,454.0,0.15
9196965,Google NYC Campus Zip Hoodie,451.0,0.15
9185010,Google Bot,450.0,0.15
9188201,Google Pen White,450.0,0.15
9196603,Google Badge Heavyweight Pullover Black,450.0,0.15
9196800,Android Iconic Mug Gray,443.0,0.14
9197951,Google Sunnyvale Campus Mug,443.0,0.14
9195205,Google F/C Longsleeve Ash,438.0,0.14
9198825,Mural Food Container,437.0,0.14
9196901,#IamRemarkable Water Bottle,435.0,0.14
9196951,Google NYC Campus Bottle,431.0,0.14
9184988,Google Emoji Sticker Pack,430.0,0.14
9199205,Google Land & Sea French Terry Sweatshirt,429.0,0.14
9197426,Google SF Campus Bottle,427.0,0.14
9196895,Google Cork Passport Holder,426.0,0.14
9197707,Google PNW Campus Zip Hoodie,426.0,0.14
9197400,Google LA Campus Mug,422.0,0.14
9195296,Android Super Hero 3D Framed Art,420.0,0.14
9195551,Google Unisex Eco Tee Black,416.0,0.14
9188234,Google Twill Cap Charcoal,415.0,0.14
9200600,Google Bot (Multicolored),414.0,0.13
9196274,YouTube Transmission Journal Red,411.0,0.13
9195128,Google Zip Hoodie F/C,408.0,0.13
9196917,#IamRemarkable Unisex Hoodie,407.0,0.13
9195710,Google Leather Strap Hat Black,405.0,0.13
9188189,Google 16 oz Tumbler Blue,405.0,0.13
9185149,Google Women's Microfleece Jacket Black,405.0,0.13
9196843,Android Iconic Backpack,400.0,0.13
9195195,Google F/C Longsleeve Charcoal,396.0,0.13
9196743,Google Men's Softshell Moss,395.0,0.13
9196777,Google Sherpa Vest Black,394.0,0.13
9196779,Google Sherpa Vest Black,394.0,0.13
9188191,YouTube 25 oz Gear Cap Bottle Black,394.0,0.13
9196623,Google Heather Green Speckled Tee,392.0,0.13
9196769,Google Men's Tech Fleece Grey,391.0,0.13
9196813,Android Pocket Tee Navy,387.0,0.13
9198447,Mommy Works at Google Book,384.0,0.13
9195962,Essential Canvas Tote,383.0,0.12
9197994,YouTube Jotter Task Pad,381.0,0.12
9197414,Google SF Campus Zip Hoodie,379.0,0.12
9196812,Android Pocket Tee Navy,376.0,0.12
9185152,Google Women's Microfleece Jacket Black,375.0,0.12
9199737,Super G Unisex Joggers,374.0,0.12
9196814,Android Pocket Tee Navy,369.0,0.12
9196761,Google Women's Puff Jacket Black,368.0,0.12
9196783,YouTube Iconic Play Pin,368.0,0.12
9196724,Google Women's Tech Fleece Vest Charcoal,363.0,0.12
9196729,Google LoveHandle Black,360.0,0.12
9196894,Google Cork Card Holder,360.0,0.12
9200323,Google Black Cloud Zip Hoodie,358.0,0.12
9195798,YouTube Icon Tee Grey,355.0,0.12
9196771,Google Women's Tech Fleece Grey,355.0,0.12
9180818,Keyboard DOT Sticker,355.0,0.12
9195211,Google Tudes Recycled Tee,354.0,0.12
9199133,Super G Unisex Joggers,350.0,0.11
9195237,Google Toddler FC Tee Charcoal,350.0,0.11
9196735,Google Cotopaxi Shell,342.0,0.11
9196671,Google Infant Hero Onesie Grey,340.0,0.11
9196784,Google Emoji Magnet Set,336.0,0.11
9196855,Android Iconic Hat White,336.0,0.11
9196693,Google Youth Hero Tee Grey,333.0,0.11
9196728,Android Iconic Socks,331.0,0.11
9196720,Google Men's Tech Fleece Vest Charcoal,331.0,0.11
9196721,Google Men's Tech Fleece Vest Charcoal,331.0,0.11
9196645,Google Sherpa Zip Hoodie Navy,330.0,0.11
9195913,Womens Google Striped LS,328.0,0.11
9195827,YouTube Standards Zip Hoodie Black,324.0,0.11
9195911,Womens Google Striped LS,324.0,0.11
9197423,Google SF Campus Tote,321.0,0.1
9197412,Google SF Campus Zip Hoodie,321.0,0.1
9196854,Android Iconic Hat Green,320.0,0.1
9196770,Google Women's Tech Fleece Grey,320.0,0.1
9185160,Google Crewneck Sweatshirt Grey,319.0,0.1
9196922,Google Cambridge Campus Mug,316.0,0.1
9196748,Google Women's Softshell Moss,316.0,0.1
9196747,Google Women's Softshell Moss,316.0,0.1
9185151,Google Women's Microfleece Jacket Black,315.0,0.1
9184912,Google Crewneck Sweatshirt Navy,308.0,0.1
9197603,Google Kirkland Campus Mug,307.0,0.1
9196939,Google Cambridge Campus Zip Hoodie,306.0,0.1
9196711,Google Split Seam Tee Olive,304.0,0.1
9196732,Google Cotopaxi Shell,304.0,0.1
9195550,Google Unisex Eco Tee Black,304.0,0.1
9195735,Google Campus Bike Eco Tee Navy,300.0,0.1
9194990,Google Women's Grid Zip-Up,300.0,0.1
9196762,Google Women's Puff Jacket Black,299.0,0.1
9196856,Android Iconic Hat Black,298.0,0.1
9197413,Google SF Campus Zip Hoodie,298.0,0.1
9196390,Supernatural Paper Tote,298.0,0.1
9180825,Google Sunglasses,291.0,0.09
9180827,Google Sunglasses,290.0,0.09
9195918,Google Summer19 Crew Grey,288.0,0.09
9196624,Google Heather Green Speckled Tee,288.0,0.09
9188310,Android SM S/F18 Sticker Sheet,288.0,0.09
9196607,Google Badge Heavyweight Pullover Black,288.0,0.09
9197380,Google LA Campus Unisex Tee,288.0,0.09
9195882,Unisex Google Pocket Tee Grey,284.0,0.09
9196786,Google Lapel Pin,284.0,0.09
9195919,Google Summer19 Crew Grey,280.0,0.09
9184829,Google Light Pen Blue,279.0,0.09
9197026,Google Austin Campus Tote,278.0,0.09
9197810,Supernatural Paper Backpack,276.0,0.09
9196978,Google Chicago Campus Bottle,275.0,0.09
9196907,#IamRemarkable Unisex T-Shirt,271.0,0.09
9195200,Google F/C Longsleeve Charcoal,270.0,0.09
9196775,Google Sherpa Vest Black,268.0,0.09
9196857,Android Iconic Beanie,268.0,0.09
9195238,Google Toddler FC Tee Charcoal,265.0,0.09
9196994,Google Chicago Campus Zip Hoodie,265.0,0.09
9196938,Google Cambridge Campus Zip Hoodie,265.0,0.09
9195966,Google Clear Framed Yellow Shades,265.0,0.09
9196723,Google Women's Tech Fleece Vest Charcoal,264.0,0.09
9196847,Android Iconic Crewneck Sweatshirt,264.0,0.09
9196635,Google Red Speckled Tee,264.0,0.09
9199201,Google Land & Sea French Terry Sweatshirt,264.0,0.09
9188198,Google Small Cable Organizer Blue,261.0,0.09
9195244,Google Infant Charcoal Onesie,260.0,0.08
9195731,Google Campus Bike Eco Tee Navy,260.0,0.08
9196858,Google Recycled Writing Set,259.0,0.08
9196694,Google Youth Hero Tee Grey,258.0,0.08
9196745,Google Men's Softshell Moss,257.0,0.08
9197020,Google Austin Campus Zip Hoodie,256.0,0.08
9188209,Google Mesh Bag Blue,256.0,0.08
9195927,Google Blue Kids Sunglasses,255.0,0.08
9200362,Google Cloud Pen,251.0,0.08
9195736,Google Campus Bike Eco Tee Navy,250.0,0.08
9195226,Google Youth FC Tee Charcoal,250.0,0.08
9196389,Supernatural Paper Lunch Sack,247.0,0.08
9197368,Google Boulder Campus Mug,247.0,0.08
9195231,Google Youth FC Longsleeve Charcoal,246.0,0.08
9200364,Google Shoreline Water Bottle,246.0,0.08
9195236,Google Toddler FC Tee Charcoal,245.0,0.08
9188228,Google 24 oz Ring Bottle Red,243.0,0.08
9197592,Google Kirkland Campus Unisex Tee,242.0,0.08
9195265,Google Incognito Flap Pack,240.0,0.08
9196916,#IamRemarkable Unisex Hoodie,239.0,0.08
9196412,Google Beekeepers Tee Mint,238.0,0.08
9196993,Google Chicago Campus Zip Hoodie,234.0,0.08
9197705,Google PNW Campus Zip Hoodie,233.0,0.08
9184830,Google Light Pen Red,232.0,0.08
9196427,Stan and Friends Tee Green,232.0,0.08
9195247,Google Infant Charcoal Onesie,230.0,0.07
9196381,Google Mural Notebook,228.0,0.07
9197386,Google LA Campus Zip Hoodie,225.0,0.07
9195228,Google Youth FC Tee Charcoal,225.0,0.07
9196699,Google Youth Hero Tee Maroon,224.0,0.07
9197021,Google Austin Campus Zip Hoodie,224.0,0.07
9197986,Google Sunnyvale Campus Zip Hoodie,224.0,0.07
9196891,Google Medium Pet Leash (Blue/Green),224.0,0.07
9197988,Google Sunnyvale Campus Zip Hoodie,224.0,0.07
9197706,Google PNW Campus Zip Hoodie,224.0,0.07
9195967,Google Clear Framed Blue Shades,223.0,0.07
9180826,Google Sunglasses,223.0,0.07
9195968,Google Clear Framed Gray Shades,222.0,0.07
9195229,Google Youth FC Longsleeve Charcoal,222.0,0.07
9196780,Google Sherpa Vest Black,221.0,0.07
9185146,Google Mens Microfleece Jacket Black,221.0,0.07
9195263,Google Toddler FC Tee Charcoal,220.0,0.07
9196918,#IamRemarkable Unisex Hoodie,219.0,0.07
9196805,Android Pocket Tee Green,219.0,0.07
9195936,Google Color Block Notebook,218.0,0.07
9195230,Google Youth FC Longsleeve Charcoal,216.0,0.07
9195227,Google Youth FC Tee Charcoal,215.0,0.07
9196709,Google Split Seam Tee Olive,215.0,0.07
9195801,YouTube Icon Tee Grey,214.0,0.07
9197713,Google PNW Campus Unisex Tee,214.0,0.07
9180823,Google Mini Kick Ball,213.0,0.07
9195937,Google Confetti Task Pad,211.0,0.07
9195791,YouTube Icon Tee Charcoal,210.0,0.07
9197387,Google LA Campus Zip Hoodie,210.0,0.07
9196870,Google Sustainable Pencil Pouch,210.0,0.07
9197814,Google Large Pet Leash (Red/Yellow),210.0,0.07
9195946,Google Campus Bike Carry Pouch,207.0,0.07
9184749,Android Large Removable Sticker Sheet,207.0,0.07
9184831,Google Light Pen Green,205.0,0.07
9195245,Google Infant Charcoal Onesie,205.0,0.07
9184850,Google Tee Yellow,204.0,0.07
9188207,Google Laptop Sleeve Charcoal,204.0,0.07
9196892,Google Large Pet Leash (Blue/Green),203.0,0.07
9181149,Gift Card - $25.00,200.0,0.07
9195246,Google Infant Charcoal Onesie,200.0,0.07
9195201,Google F/C Longsleeve Ash,198.0,0.06
9195938,Google Confetti Slim Task Pad,197.0,0.06
9196889,Google Medium Pet Collar (Blue/Green),196.0,0.06
9196806,Android Pocket Tee Green,196.0,0.06
9195794,YouTube Icon Tee Charcoal,195.0,0.06
9196861,Google Cork Journal,194.0,0.06
9197005,Google Austin Campus Bottle,194.0,0.06
9196666,Google Sherpa Zip Hoodie Charcoal,193.0,0.06
9195881,Unisex Google Pocket Tee Grey,192.0,0.06
9196654,Google Raincoat Navy,192.0,0.06
9200344,Google Chrome Dino Light Up Water Bottle,191.0,0.06
9195294,Snowflake Android Cardboard Sculpture,190.0,0.06
9195802,YouTube Icon Tee Grey,186.0,0.06
9196757,Google Men's Puff Jacket Black,184.0,0.06
9184842,Google Tee Red,183.0,0.06
9184979,Android Large Trace Journal Black,181.0,0.06
9180842,Maze Pen,180.0,0.06
9200324,Google Black Cloud Zip Hoodie,179.0,0.06
9196968,Google NYC Campus Zip Hoodie,178.0,0.06
9196830,Android Pocket Onesie Navy,178.0,0.06
9188194,Google Mouse Pad Navy,177.0,0.06
9196270,Google Mural Sticker Sheet,176.0,0.06
9196851,Android Iconic Crewneck Sweatshirt,176.0,0.06
9196864,Google Cork Pencil Pouch,176.0,0.06
9200316,Google Aluminum Bottle Red,175.0,0.06
9188311,Android Lumberjack Pin,174.0,0.06
9197347,Google Boulder Campus Unisex Tee,172.0,0.06
9188233,Google Phone Stand Bamboo,169.0,0.06
9196995,Google Chicago Campus Zip Hoodie,169.0,0.06
9196872,Google Felt Luggage Tag,168.0,0.05
9196890,Google Large Pet Collar (Blue/Green),168.0,0.05
9196710,Google Split Seam Tee Olive,168.0,0.05
9196437,Stan and Friends Youth Tee Green,168.0,0.05
9195942,Google Confetti Accessory Pouch,167.0,0.05
9196811,Android Pocket Tee Navy,167.0,0.05
9195799,YouTube Icon Tee Grey,166.0,0.05
9196691,Google Youth Badge Tee Olive,166.0,0.05
9196650,Google Sherpa Zip Hoodie Navy,165.0,0.05
9184866,Google Tee Blue,163.0,0.05
9196782,Google Maps Pin,163.0,0.05
9196695,Google Youth Hero Tee Grey,162.0,0.05
9196822,Android Pocket Toddler Tee Navy,162.0,0.05
9197420,Google SF Campus Ladies Tee,162.0,0.05
9197356,Google Boulder Campus Zip Hoodie,160.0,0.05
9197989,Google Sunnyvale Campus Zip Hoodie,160.0,0.05
9196749,Google Women's Softshell Moss,158.0,0.05
9197372,Google Infant Hero Tee Olive,158.0,0.05
9197953,Google Sunnyvale Campus Bottle,158.0,0.05
9196740,Google Men's Softshell Moss,158.0,0.05
9197379,Google LA Campus Unisex Tee,158.0,0.05
9196698,Google Youth Hero Tee Maroon,157.0,0.05
9196824,Android Pocket Toddler Tee Navy,154.0,0.05
9197939,Google Decal,153.0,0.05
9196908,#IamRemarkable Unisex T-Shirt,153.0,0.05
9196712,Google Split Seam Tee Olive,152.0,0.05
9196736,Google Cotopaxi Shell,152.0,0.05
9194986,Google Women's Grid Zip-Up,150.0,0.05
9181151,Gift Card - $50.00,150.0,0.05
9196382,Google Mural Tote,148.0,0.05
9196413,Google Beekeepers Tee Mint,148.0,0.05
9195879,Unisex Google Pocket Tee Grey,148.0,0.05
9184858,Google Tee Green,146.0,0.05
9196840,Android Pocket Youth Tee Navy,145.0,0.05
9195251,Google Youth FC Zip Hoodie,144.0,0.05
9196419,Flamingo and Friends Tee Blue,144.0,0.05
9197373,Google Infant Hero Tee Olive,144.0,0.05
9196642,Google Toddler Tee White,143.0,0.05
9196829,Android Pocket Onesie Navy,143.0,0.05
9196831,Android Pocket Onesie Navy,143.0,0.05
9185156,Google Crewneck Sweatshirt Grey,143.0,0.05
9188256,Google Women's Black Tee,142.0,0.05
9195553,Google Unisex Eco Tee Black,142.0,0.05
9196859,Google Recycled Pen Black,142.0,0.05
9196772,Google Women's Tech Fleece Grey,142.0,0.05
9195797,YouTube Icon Tee Grey,141.0,0.05
9197974,Google Sunnyvale Campus Ladies Tee,140.0,0.05
9197969,Google Mountain View Campus Ladies Tee,140.0,0.05
9197811,Google Medium Pet Collar (Red/Yellow),140.0,0.05
9196643,Google Toddler Tee White,138.0,0.04
9196714,Google Totepak,138.0,0.04
9196644,Google Toddler Tee White,138.0,0.04
9197385,Google LA Campus Zip Hoodie,137.0,0.04
9196874,Google Felt Strap Keyring,137.0,0.04
9195926,Google Red Kids Sunglasses,137.0,0.04
9197708,Google PNW Campus Zip Hoodie,137.0,0.04
9196893,Google Cork Key Ring,135.0,0.04
9184980,Android Small Trace Journal Black,135.0,0.04
9196414,Google Beekeepers Tee Mint,134.0,0.04
9197370,Google Infant Hero Tee Olive,134.0,0.04
9197963,Google Sunnyvale Campus Unisex Tee,134.0,0.04
9196722,Google Women's Tech Fleece Vest Charcoal,132.0,0.04
9199204,Google Land & Sea French Terry Sweatshirt,132.0,0.04
9199203,Google Land & Sea French Terry Sweatshirt,132.0,0.04
9196823,Android Pocket Toddler Tee Navy,131.0,0.04
9196960,Google NYC Campus Ladies Tee,130.0,0.04
9196868,Stainless Straight Straw/Cleaner,130.0,0.04
9196451,Google Beekeepers Toddler Tee Pink,130.0,0.04
9196906,#IamRemarkable Unisex T-Shirt,129.0,0.04
9196420,Flamingo and Friends Tee Blue,128.0,0.04
9196970,Google NYC Campus Zip Hoodie,128.0,0.04
9197978,Google Mountain View Campus Zip Hoodie,128.0,0.04
9197981,Google Mountain View Campus Zip Hoodie,128.0,0.04
9197987,Google Sunnyvale Campus Zip Hoodie,128.0,0.04
9197355,Google Boulder Campus Zip Hoodie,128.0,0.04
9197354,Google Boulder Campus Zip Hoodie,128.0,0.04
9196692,Google Youth Badge Tee Olive,127.0,0.04
9195846,Google Pen Citron,126.0,0.04
9196452,Google Beekeepers Onesie Pink,126.0,0.04
9196433,Stan and Friends Onesie Green,126.0,0.04
9196953,Google NYC Campus Unisex Tee,126.0,0.04
9196776,Google Sherpa Vest Black,126.0,0.04
9196268,Google Large White Gift Bag 5/PK,125.0,0.04
9199126,Google Land & Sea Tech Taco,125.0,0.04
9196428,Stan and Friends Tee Green,124.0,0.04
9196913,#IamRemarkable Ladies T-Shirt,123.0,0.04
9196689,Google Youth Badge Tee Olive,121.0,0.04
9196687,Google Youth Badge Tee Navy,120.0,0.04
9197391,Google LA Campus Ladies Tee,120.0,0.04
9196407,Android Garden Tee Orange,120.0,0.04
9195225,Google Youth FC Tee Charcoal,120.0,0.04
9196700,Google Youth Hero Tee Maroon,119.0,0.04
9197812,Google Large Pet Collar (Red/Yellow),119.0,0.04
9196981,Google Chicago Campus Unisex Tee,116.0,0.04
9196926,Google Cambridge Campus Unisex Tee,116.0,0.04
9196429,Stan and Friends Tee Green,116.0,0.04
9196681,Google Toddler Hero Tee Olive,114.0,0.04
9197415,Google SF Campus Zip Hoodie,114.0,0.04
9197399,Google LA Campus Bottle,113.0,0.04
9194991,Google Women's Grid Zip-Up,113.0,0.04
9196959,Google NYC Campus Ladies Tee,112.0,0.04
9196445,Google Beekeepers Youth Tee Pink,112.0,0.04
9190336,YouTube Small Sticker Sheet,112.0,0.04
9197371,Google Infant Hero Tee Olive,112.0,0.04
9196841,Android Pocket Youth Tee Navy,110.0,0.04
9185161,Google Crewneck Sweatshirt Grey,110.0,0.04
9196688,Google Youth Badge Tee Navy,110.0,0.04
9196821,Android Pocket Toddler Tee Navy,109.0,0.04
9195252,Google Youth FC Zip Hoodie,108.0,0.04
9196845,Android Iconic Sticker Sheet,107.0,0.03
9195842,Google Pen Bright Blue,106.0,0.03
9196237,Android Puzzlebot v2,106.0,0.03
9196690,Google Youth Badge Tee Olive,105.0,0.03
9188231,Google Recycled Notebook Set Natural,105.0,0.03
9196685,Google Youth Badge Tee Navy,105.0,0.03
9195744,Google Dino Game Tee,104.0,0.03
9197405,Google SF Campus Unisex Tee,102.0,0.03
