item_name,units_sold,total_revenue,row_number,product_rank,dense_rank
Android Super Hero 3D Framed Art,26,420.0,167,167,159
Google Mountain View Campus Zip Hoodie,13,416.0,168,168,160
Google Twill Cap Charcoal,37,415.0,169,169,161
Google Bot (Multicolored),50,414.0,170,170,162
YouTube Transmission Journal Red,29,411.0,171,171,163
Google Leather Strap Hat Black,28,405.0,172,172,164
Google 16 oz Tumbler Blue,38,405.0,173,172,164
Android Iconic Backpack,20,400.0,174,174,165
Google NYC Campus Ladies Tee,28,396.0,175,175,166
YouTube 25 oz Gear Cap Bottle Black,17,394.0,176,176,167
Mommy Works at Google Book,23,384.0,177,177,168
Essential Canvas Tote,15,383.0,178,178,169
Google Kirkland Campus Unisex Tee,27,382.0,179,179,170
YouTube Jotter Task Pad,142,381.0,181,180,171
Android Garden Tee Orange,23,381.0,180,180,171
YouTube Iconic Play Pin,53,368.0,182,182,172
Google LoveHandle Black,43,360.0,184,183,173
Google Cork Card Holder,26,360.0,183,183,173
Keyboard DOT Sticker,210,355.0,185,185,174
Google Toddler Hero Tee Black,26,349.0,186,186,175
Google Infant Hero Onesie Grey,24,340.0,188,187,176
Google Mountain View Campus Ladies Tee,24,340.0,187,187,176
Android Iconic Hat White,25,336.0,189,189,177
Google Emoji Magnet Set,39,336.0,190,189,177
Android Iconic Socks,23,331.0,191,191,178
Stan and Friends Toddler Tee Green,23,330.0,192,192,179
Google Toddler Hero Tee Olive,17,323.0,193,193,180
Google SF Campus Tote,52,321.0,194,194,181
Android Pocket Youth Tee Navy,15,320.0,195,195,182
Android Iconic Hat Green,23,320.0,196,195,182
Google Cambridge Campus Mug,44,316.0,197,197,183
Stan and Friends Onesie Green,22,312.0,199,198,184
Google Beekeepers Onesie Pink,22,312.0,198,198,184
Google Kirkland Campus Mug,45,307.0,200,200,185
Supernatural Paper Tote,13,298.0,201,201,186
Android Iconic Hat Black,32,298.0,202,201,186
Android SM S/F18 Sticker Sheet,157,288.0,203,203,187
Google Boulder Campus Unisex Tee,20,284.0,205,204,188
Google Lapel Pin,42,284.0,204,204,188
Google Tee Yellow,30,280.0,206,206,189
Google Light Pen Blue,153,279.0,207,207,190
Google Austin Campus Tote,41,278.0,208,208,191
Supernatural Paper Backpack,6,276.0,209,209,192
Google Chicago Campus Bottle,24,275.0,210,210,193
Google Sunnyvale Campus Ladies Tee,19,270.0,211,211,194
Android Iconic Beanie,30,268.0,212,212,195
Google Clear Framed Yellow Shades,82,265.0,213,213,196
Google Small Cable Organizer Blue,107,261.0,214,214,197
Google Recycled Writing Set,75,259.0,215,215,198
Google Mesh Bag Blue,50,256.0,217,216,199
Stan and Friends Youth Tee Green,18,256.0,216,216,199
Google Blue Kids Sunglasses,60,255.0,218,218,200
Google Youth FC Zip Hoodie,7,252.0,219,219,201
Google Cloud Pen,100,251.0,220,220,202
Google LA Campus Ladies Tee,17,250.0,221,221,203
Supernatural Paper Lunch Sack,13,247.0,223,222,204
Google Boulder Campus Mug,34,247.0,222,222,204
Google Shoreline Water Bottle,11,246.0,224,224,205
Google Women's Discovery Lt. Rain Shell,5,245.0,225,225,206
Google 24 oz Ring Bottle Red,41,243.0,226,226,207
Google PNW Campus Unisex Tee,17,242.0,228,227,208
Google Beekeepers Toddler Tee Pink,17,242.0,227,227,208
Google Incognito Flap Pack,4,240.0,229,229,209
Youth Jumbo Print Tee White,15,237.0,231,230,210
#IamRemarkable Ladies T-Shirt,23,237.0,230,230,210
Google Light Pen Red,129,232.0,232,232,211
Google Mural Notebook,15,228.0,233,233,212
Google Medium Pet Leash (Blue/Green),8,224.0,234,234,213
Google Clear Framed Blue Shades,70,223.0,235,235,214
Google Clear Framed Gray Shades,70,222.0,236,236,215
Google Mens Microfleece Jacket Black,5,221.0,237,237,216
Android Pocket Youth Tee Green,10,220.0,238,238,217
Google SF Campus Ladies Tee,15,218.0,239,239,218
Google Color Block Notebook,21,218.0,240,239,218
Google Mini Kick Ball,127,213.0,241,241,219
Google Tee Red,23,212.0,242,242,220
Google Confetti Task Pad,33,211.0,243,243,221
Google Sustainable Pencil Pouch,25,210.0,244,244,222
Google Large Pet Leash (Red/Yellow),7,210.0,245,244,222
Google Sunnyvale Campus Unisex Tee,14,208.0,246,246,223
Android Large Removable Sticker Sheet,119,207.0,247,247,224
Google Campus Bike Carry Pouch,32,207.0,248,247,224
Google Light Pen Green,114,205.0,249,249,225
Google Laptop Sleeve Charcoal,12,204.0,250,250,226
Google Large Pet Leash (Blue/Green),7,203.0,251,251,227
Gift Card - $25.00,8,200.0,252,252,228
Google Confetti Slim Task Pad,58,197.0,253,253,229
Google Beekeepers Youth Tee Pink,14,196.0,255,254,230
Google Medium Pet Collar (Blue/Green),7,196.0,254,254,230
Google Austin Campus Bottle,17,194.0,257,256,231
Google Cork Journal,27,194.0,256,256,231
Google Chrome Dino Light Up Water Bottle,10,191.0,258,258,232
Snowflake Android Cardboard Sculpture,23,190.0,259,259,233
Android Large Trace Journal Black,27,181.0,260,260,234
Maze Pen,208,180.0,262,261,235
Google Cambridge Campus Unisex Tee,12,180.0,261,261,235
Google Mouse Pad Navy,43,177.0,263,263,236
Google Cork Pencil Pouch,26,176.0,264,264,237
Google Mural Sticker Sheet,76,176.0,265,264,237
Google Aluminum Bottle Red,26,175.0,266,266,238
Android Lumberjack Pin,40,174.0,267,267,239
Google Phone Stand Bamboo,40,169.0,268,268,240
Google Felt Luggage Tag,26,168.0,270,269,241
Google Large Pet Collar (Blue/Green),6,168.0,269,269,241
Google Confetti Accessory Pouch,16,167.0,271,271,242
Google Tee Blue,18,163.0,273,272,243
Google Maps Pin,25,163.0,272,272,243
Google Men's Discovery Lt. Rain Shell,3,160.0,274,274,244
Google Sunnyvale Campus Bottle,14,158.0,275,275,245
Google Decal,227,153.0,276,276,246
Google Women's Pride Eco-Tee Black,12,151.0,277,277,247
Gift Card - $50.00,3,150.0,278,278,248
Google Mural Tote,10,148.0,279,279,249
Google Tee Green,16,146.0,280,280,250
Google Chicago Campus Unisex Tee,10,144.0,281,281,251
Google Women's Black Tee,10,142.0,283,282,252
Google Recycled Pen Black,77,142.0,282,282,252
Google Medium Pet Collar (Red/Yellow),5,140.0,284,284,253
Google Totepak,7,138.0,285,285,254
Google Red Kids Sunglasses,33,137.0,287,286,255
Google Felt Strap Keyring,13,137.0,286,286,255
Android Small Trace Journal Black,25,135.0,289,288,256
Google Tee Grey,15,135.0,290,288,256
Google Cork Key Ring,19,135.0,288,288,256
Google SF Campus Unisex Tee,9,134.0,291,291,257
Stainless Straight Straw/Cleaner,44,130.0,292,292,258
Google Austin Campus Ladies Tee,9,126.0,293,293,259
Google NYC Campus Unisex Tee,9,126.0,295,293,259
Google Chicago Campus Ladies Tee,9,126.0,294,293,259
Google Pen Citron,121,126.0,296,293,259
Google Kirkland Campus Ladies Tee,9,126.0,297,293,259
Google Land & Sea Tech Taco,38,125.0,299,298,260
Google Large White Gift Bag 5/PK,12,125.0,298,298,260
Google Land & Sea Women's Eco Tee,6,120.0,300,300,261
Google Large Pet Collar (Red/Yellow),4,119.0,301,301,262
Google Boulder Campus Ladies Tee,8,116.0,302,302,263
Google LA Campus Bottle,10,113.0,303,303,264
YouTube Small Sticker Sheet,44,112.0,304,304,265
Android Iconic Sticker Sheet,42,107.0,305,305,266
Google Pen Bright Blue,70,106.0,306,306,267
Android Puzzlebot v2,7,106.0,307,306,267
Google Recycled Notebook Set Natural,9,105.0,308,308,268
Google Mountain View Campus Unisex Tee,7,102.0,309,309,269
Gift Card- $100.00,1,100.0,311,310,270
Google LA Campus Tote,16,100.0,310,310,270
Google Youth F/C Pullover Hoodie,3,96.0,312,312,271
Google PNW Campus Ladies Tee,6,92.0,313,313,272
Google Tee Mint Green,6,92.0,315,313,272
Google Cambridge Campus Ladies Tee,6,92.0,314,313,272
Google Pen Red,63,89.0,317,316,273
Google Red YoYo,28,89.0,316,316,273
Android Hipster Pin,18,89.0,318,316,273
Google Blue YoYo,25,88.0,319,319,274
#IamRemarkable Lapel Pin,36,86.0,320,320,275
Google Pen Lilac,56,85.0,321,321,276
Google Tonal Tee Coral,9,85.0,322,321,276
Google Austin Campus Unisex Tee,6,84.0,323,323,277
Android Iconic Pen,55,84.0,324,323,277
Google Pride Sticker,119,84.0,325,323,277
Google Tee F/C Black,6,82.0,327,326,278
#IamRemarkable Pen,5,82.0,328,326,278
Google Seattle Campus Sticker,75,82.0,326,326,278
Google Pen Neon Coral,50,82.0,329,326,278
Google Striped Penny Pouch,35,81.0,330,330,279
Google Jotter Task Pad,27,80.0,332,331,280
Google NYC Campus Lapel Pin,25,80.0,331,331,280
Google Cork Tablet Case,4,76.0,334,333,281
Google NYC Campus Sticker,73,76.0,336,333,281
Google LA Campus Sticker,72,76.0,335,333,281
Google Pen Grey,51,76.0,333,333,281
Android Geek Pin,15,71.0,338,337,282
Google Chicago Campus Tote,11,71.0,337,337,282
Google Women's Kirkland Pullover,2,70.0,340,339,283
Google Seattle Campus Ladies Tee,5,70.0,339,339,283
Google Tech Taco,20,65.0,341,341,284
Google Small White Gift Bag 5/PK,10,65.0,342,341,284
Android Iconic Pin,18,63.0,343,343,285
Google Yellow YoYo,20,62.0,344,344,286
Google Cloth & Pouch Black,18,60.0,345,345,287
Google PNW Campus Tote,9,59.0,346,346,288
BLM Unisex Pullover Hoodie,1,58.0,347,347,289
Google Medium Pet Leash (Red/Yellow),2,56.0,348,348,290
Google Cambridge Campus Bottle,5,55.0,351,349,291
Google Boulder Campus Bottle,5,55.0,350,349,291
Google Pen Grass Green,36,55.0,349,349,291
Android Iconic 4&quot; Decal,40,50.0,352,352,292
Google Confetti Pen White,31,48.0,353,353,293
YouTube Women's Favorite Tee White,5,47.0,354,354,294
Stainless Bent Straw/Cleaner,22,46.0,356,355,295
Google Boulder Campus Sticker,44,46.0,355,355,295
Google SF Campus Lapel Pin,13,44.0,358,357,296
Google Cambridge Campus Sticker,42,44.0,357,357,296
Google Seattle Campus Unisex Tee,3,42.0,359,359,297
Google Recycled Pen Green,25,42.0,360,359,297
Google Austin Campus Lapel Pin,12,39.0,361,361,298
#IamRemarkable Tote,6,38.0,362,362,299
Google Frisbee,29,36.0,365,363,300
Android Jotter Task Pad,16,36.0,364,363,300
Google LA Campus Lapel Pin,11,36.0,363,363,300
Google Women's Eco Tee Black,2,35.0,366,366,301
Google Bottle Cleaner,4,32.0,367,367,302
Google Tudes Thermal Bottle,1,32.0,368,367,302
Google Sunnyvale Campus Sticker,28,31.0,369,369,303
Google Sunnyvale Campus Tote,5,30.0,371,370,304
Google Cambridge Campus Tote,5,30.0,370,370,304
Google Mountain View Campus Sticker,25,29.0,372,372,305
Google Chicago Campus Lapel Pin,8,25.0,373,373,306
Google Boulder Campus Tote,4,24.0,375,374,307
Google Kirkland Campus Sticker,22,24.0,378,374,307
Unisex Google Jumbo Print Tee White,2,24.0,377,374,307
Android Iconic Bottle Black,1,24.0,374,374,307
Google PNW Campus Sticker,23,24.0,376,374,307
Google Seattle Campus Lapel Pin,7,23.0,379,379,308
Google PNW Campus Lapel Pin,7,21.0,380,380,309
Google Bellevue Campus Sticker,19,20.0,381,381,310
Google Tonal Tee Spearmint,2,18.0,382,382,311
Google Boulder Campus Lapel Pin,5,17.0,383,383,312
Google Cambridge Campus Lapel Pin,5,15.0,384,384,313
Google Women's Ringer Tee,1,14.0,386,385,314
Google Mountain View Tee Red,1,14.0,385,385,314
Android Flex Journal White,3,6.0,387,387,315
Google Kirkland Campus Lapel Pin,2,6.0,388,387,315
Google Separating Keyring,1,6.0,389,387,315
Google Light Pen Yellow,1,2.0,390,390,316
