item_name,units_sold,total_revenue,revenue_pct,cumulative_revenue_pct
Google Woodtop Bottle Black,68,1668.0,0.54,54.87
Noogler Android Figure,122,1656.0,0.54,55.41
Google Crew Combed Cotton Sock,115,1632.0,0.53,55.95
YouTube Icon Tee Charcoal,81,1588.0,0.52,56.46
Google Chrome Dinosaur Collectible,59,1488.0,0.49,56.95
Google Sherpa Vest Black,22,1466.0,0.48,57.43
Google Seaport Tote,30,1464.0,0.48,57.9
Google KeepCup,51,1442.0,0.47,58.37
Google Incognito Zip Pack,23,1418.0,0.46,58.84
Google Speckled Beanie Grey,86,1412.0,0.46,59.3
Android Pocket Tee Navy,56,1391.0,0.45,59.75
Google Soft Modal Scarf,36,1386.0,0.45,60.2
Google Packable Bag Black,82,1348.0,0.44,60.64
Womens Google Striped LS,82,1345.0,0.44,61.08
Google Camp Mug Gray,128,1340.0,0.44,61.52
Google Heather Green Speckled Tee,52,1255.0,0.41,61.93
Google Hemp Tote,95,1236.0,0.4,62.33
Google Large Tote White,112,1185.0,0.39,62.72
Google Large Standard Journal Grey,88,1159.0,0.38,63.09
Google Super G Tumbler (Red Lid),51,1151.0,0.38,63.47
Google Land & Sea French Terry Sweatshirt,25,1144.0,0.37,63.84
Google Clear Pen 4-Pack,367,1125.0,0.37,64.21
YouTube Icon Tee Grey,57,1120.0,0.37,64.57
YouTube Twill Sandwich Cap Black,97,1113.0,0.36,64.94
Google SF Campus Zip Hoodie,33,1112.0,0.36,65.3
Google Cork Base Tumbler,49,1098.0,0.36,65.66
Google Land & Sea Nalgene Water Bottle,53,1095.0,0.36,66.01
Google Toddler FC Tee Charcoal,53,1080.0,0.35,66.37
Google Knit Blanket,15,1069.0,0.35,66.71
Google Crew Striped Athletic Sock,75,1067.0,0.35,67.06
Google Blue Stojo Cup,50,1045.0,0.34,67.4
Google PNW Campus Zip Hoodie,31,1020.0,0.33,67.74
Google Laptop and Cell Phone Stickers,379,1011.0,0.33,68.07
#IamRemarkable Unisex Hoodie,36,969.0,0.32,68.38
Google Black Cork Journal,95,961.0,0.31,68.69
Google Bear Baby Blanket Beige,50,951.0,0.31,69.01
Google Incognito Dopp Kit V2,24,927.0,0.3,69.31
Android Pocket Onesie Navy,49,923.0,0.3,69.61
Google 24oz Ring Bottle Blue,160,919.0,0.3,69.91
Google Land & Sea Mug,63,906.0,0.3,70.2
Google Women's Tech Fleece Vest Charcoal,20,902.0,0.29,70.5
Google Sunnyvale Campus Zip Hoodie,28,896.0,0.29,70.79
Google Infant Charcoal Onesie,43,895.0,0.29,71.08
Google Utensil Set,68,891.0,0.29,71.37
Google Campus Bike Eco Tee Navy,43,890.0,0.29,71.66
Google Women's Tech Fleece Grey,12,888.0,0.29,71.95
YouTube Standards Zip Hoodie Black,17,888.0,0.29,72.24
YouTube Leather Strap Hat Black,85,885.0,0.29,72.53
Google Campus Bike Mini Backpack,26,872.0,0.28,72.81
Google Women's Softshell Moss,11,869.0,0.28,73.1
Google Split Seam Tee Olive,40,860.0,0.28,73.38
Google NYC Campus Mug,123,853.0,0.28,73.66
Google Incognito Laptop Organizer,17,831.0,0.27,73.93
Google Land & Sea Journal Set,65,816.0,0.27,74.19
Google Youth FC Tee Charcoal,39,810.0,0.26,74.46
Google Austin Campus Mug,112,805.0,0.26,74.72
Google Sunglasses,262,804.0,0.26,74.98
Google Utility Bag Grey,123,794.0,0.26,75.24
Google Small Standard Journal Navy,133,791.0,0.26,75.5
Google Campus Bike Bottle,35,788.0,0.26,75.75
YouTube Play Mug,72,782.0,0.25,76.01
Google Campus Bike Corkbase Mug Blue,54,778.0,0.25,76.26
Google Youth Hero Tee Grey,39,772.0,0.25,76.52
YouTube Crew Socks,57,766.0,0.25,76.76
Unisex Google Pocket Tee Grey,44,752.0,0.25,77.01
Google Campus Bike Grid Task Pad,71,738.0,0.24,77.25
Google Cup Cap Tumbler Grey,29,732.0,0.24,77.49
Google Seattle Campus Mug,105,730.0,0.24,77.73
Google Beekeepers Tee Mint,49,710.0,0.23,77.96
#IamRemarkable Unisex T-Shirt,70,706.0,0.23,78.19
Google Incognito Messenger Bag,11,690.0,0.22,78.41
Google Youth FC Longsleeve Charcoal,27,684.0,0.22,78.64
Google LA Campus Zip Hoodie,20,677.0,0.22,78.86
Google Mural Mug,47,675.0,0.22,79.08
Daddy Works at Google Book,41,672.0,0.22,79.3
Google Chicago Campus Zip Hoodie,20,668.0,0.22,79.51
Google Land & Sea Tote Bag,40,664.0,0.22,79.73
Google Magnet,101,646.0,0.21,79.94
Google Summer19 Crew Grey,18,646.0,0.21,80.15
Google Austin Campus Zip Hoodie,20,640.0,0.21,80.36
Google Cambridge Campus Zip Hoodie,19,635.0,0.21,80.57
Google Campus Bike Tote Navy,70,635.0,0.21,80.78
Google Mural Sticky Note Pad,55,631.0,0.21,80.98
Stan and Friends Tee Green,43,630.0,0.21,81.19
Google LA Campus Unisex Tee,43,622.0,0.2,81.39
Google ApPeel Journal Red,40,618.0,0.2,81.59
Google Mural Socks,51,618.0,0.2,81.79
#IamRemarkable Journal,84,603.0,0.2,81.99
White Google Shoreline Bottle,28,596.0,0.19,82.18
Google Tudes Recycled Tee,23,576.0,0.19,82.37
Android Techie 3D Framed Art,34,572.0,0.19,82.56
Google Keychain,86,569.0,0.19,82.74
Google PNW Campus Mug,79,562.0,0.18,82.93
Android Pocket Toddler Tee Navy,30,556.0,0.18,83.11
Google Infant Hero Tee Olive,38,548.0,0.18,83.29
Android Pocket Tee Green,22,536.0,0.17,83.46
Google Mural Bottle,27,529.0,0.17,83.63
Google Premium Sunglasses,44,522.0,0.17,83.8
Google Youth Badge Tee Olive,38,519.0,0.17,83.97
Google Toddler Tee White,26,514.0,0.17,84.14
Google Youth Hero Tee Maroon,25,500.0,0.16,84.3
Google Felt Refillable Journal,30,494.0,0.16,84.46
Android Buoy Bottle,109,487.0,0.16,84.62
Google See-No Hear-No Set,48,485.0,0.16,84.78
Android Iconic Notebook,35,484.0,0.16,84.94
Google Chicago Campus Mug,68,482.0,0.16,85.1
Google PNW Campus Bottle,42,469.0,0.15,85.25
Google Mesh Bag Red,95,461.0,0.15,85.4
Android Iconic Glass Bottle Green,34,460.0,0.15,85.55
Google Super G Tumbler (Blue Lid),20,458.0,0.15,85.7
Google Bot,55,450.0,0.15,85.85
Google Pen White,298,450.0,0.15,85.99
Google Boulder Campus Zip Hoodie,14,448.0,0.15,86.14
Android Iconic Mug Gray,30,443.0,0.14,86.28
Google Sunnyvale Campus Mug,63,443.0,0.14,86.43
Mural Food Container,13,437.0,0.14,86.57
#IamRemarkable Water Bottle,35,435.0,0.14,86.71
Google NYC Campus Bottle,38,431.0,0.14,86.85
Google Youth Badge Tee Navy,31,431.0,0.14,86.99
Google Emoji Sticker Pack,100,430.0,0.14,87.13
Google SF Campus Bottle,37,427.0,0.14,87.27
Google Cork Passport Holder,26,426.0,0.14,87.41
Flamingo and Friends Tee Blue,26,424.0,0.14,87.55
Google LA Campus Mug,58,422.0,0.14,87.69
Android Super Hero 3D Framed Art,26,420.0,0.14,87.82
Google Mountain View Campus Zip Hoodie,13,416.0,0.14,87.96
Google Twill Cap Charcoal,37,415.0,0.14,88.09
Google Bot (Multicolored),50,414.0,0.13,88.23
YouTube Transmission Journal Red,29,411.0,0.13,88.36
Google 16 oz Tumbler Blue,38,405.0,0.13,88.5
Google Leather Strap Hat Black,28,405.0,0.13,88.63
Android Iconic Backpack,20,400.0,0.13,88.76
Google NYC Campus Ladies Tee,28,396.0,0.13,88.89
YouTube 25 oz Gear Cap Bottle Black,17,394.0,0.13,89.02
Mommy Works at Google Book,23,384.0,0.13,89.14
Essential Canvas Tote,15,383.0,0.12,89.27
Google Kirkland Campus Unisex Tee,27,382.0,0.12,89.39
Android Garden Tee Orange,23,381.0,0.12,89.51
YouTube Jotter Task Pad,142,381.0,0.12,89.64
YouTube Iconic Play Pin,53,368.0,0.12,89.76
Google Cork Card Holder,26,360.0,0.12,89.88
Google LoveHandle Black,43,360.0,0.12,89.99
Keyboard DOT Sticker,210,355.0,0.12,90.11
Google Toddler Hero Tee Black,26,349.0,0.11,90.22
Google Infant Hero Onesie Grey,24,340.0,0.11,90.33
Google Mountain View Campus Ladies Tee,24,340.0,0.11,90.44
Android Iconic Hat White,25,336.0,0.11,90.55
Google Emoji Magnet Set,39,336.0,0.11,90.66
Android Iconic Socks,23,331.0,0.11,90.77
Stan and Friends Toddler Tee Green,23,330.0,0.11,90.88
Google Toddler Hero Tee Olive,17,323.0,0.11,90.98
Google SF Campus Tote,52,321.0,0.1,91.09
Android Iconic Hat Green,23,320.0,0.1,91.19
Android Pocket Youth Tee Navy,15,320.0,0.1,91.3
Google Cambridge Campus Mug,44,316.0,0.1,91.4
Google Beekeepers Onesie Pink,22,312.0,0.1,91.5
Stan and Friends Onesie Green,22,312.0,0.1,91.6
Google Kirkland Campus Mug,45,307.0,0.1,91.7
Android Iconic Hat Black,32,298.0,0.1,91.8
Supernatural Paper Tote,13,298.0,0.1,91.9
Android SM S/F18 Sticker Sheet,157,288.0,0.09,91.99
Google Boulder Campus Unisex Tee,20,284.0,0.09,92.09
Google Lapel Pin,42,284.0,0.09,92.18
Google Tee Yellow,30,280.0,0.09,92.27
Google Light Pen Blue,153,279.0,0.09,92.36
Google Austin Campus Tote,41,278.0,0.09,92.45
Supernatural Paper Backpack,6,276.0,0.09,92.54
Google Chicago Campus Bottle,24,275.0,0.09,92.63
Google Sunnyvale Campus Ladies Tee,19,270.0,0.09,92.72
Android Iconic Beanie,30,268.0,0.09,92.81
Google Clear Framed Yellow Shades,82,265.0,0.09,92.89
Google Small Cable Organizer Blue,107,261.0,0.09,92.98
Google Recycled Writing Set,75,259.0,0.08,93.06
Google Mesh Bag Blue,50,256.0,0.08,93.15
Stan and Friends Youth Tee Green,18,256.0,0.08,93.23
Google Blue Kids Sunglasses,60,255.0,0.08,93.31
Google Youth FC Zip Hoodie,7,252.0,0.08,93.39
Google Cloud Pen,100,251.0,0.08,93.48
Google LA Campus Ladies Tee,17,250.0,0.08,93.56
Google Boulder Campus Mug,34,247.0,0.08,93.64
Supernatural Paper Lunch Sack,13,247.0,0.08,93.72
Google Shoreline Water Bottle,11,246.0,0.08,93.8
Google Women's Discovery Lt. Rain Shell,5,245.0,0.08,93.88
Google 24 oz Ring Bottle Red,41,243.0,0.08,93.96
Google Beekeepers Toddler Tee Pink,17,242.0,0.08,94.04
Google PNW Campus Unisex Tee,17,242.0,0.08,94.12
Google Incognito Flap Pack,4,240.0,0.08,94.19
#IamRemarkable Ladies T-Shirt,23,237.0,0.08,94.27
Youth Jumbo Print Tee White,15,237.0,0.08,94.35
Google Light Pen Red,129,232.0,0.08,94.42
Google Mural Notebook,15,228.0,0.07,94.5
Google Medium Pet Leash (Blue/Green),8,224.0,0.07,94.57
Google Clear Framed Blue Shades,70,223.0,0.07,94.64
Google Clear Framed Gray Shades,70,222.0,0.07,94.72
Google Mens Microfleece Jacket Black,5,221.0,0.07,94.79
Android Pocket Youth Tee Green,10,220.0,0.07,94.86
Google Color Block Notebook,21,218.0,0.07,94.93
Google SF Campus Ladies Tee,15,218.0,0.07,95.0
Google Mini Kick Ball,127,213.0,0.07,95.07
Google Tee Red,23,212.0,0.07,95.14
Google Confetti Task Pad,33,211.0,0.07,95.21
Google Large Pet Leash (Red/Yellow),7,210.0,0.07,95.28
Google Sustainable Pencil Pouch,25,210.0,0.07,95.35
Google Sunnyvale Campus Unisex Tee,14,208.0,0.07,95.41
Android Large Removable Sticker Sheet,119,207.0,0.07,95.48
Google Campus Bike Carry Pouch,32,207.0,0.07,95.55
Google Light Pen Green,114,205.0,0.07,95.62
Google Laptop Sleeve Charcoal,12,204.0,0.07,95.68
Google Large Pet Leash (Blue/Green),7,203.0,0.07,95.75
Gift Card - $25.00,8,200.0,0.07,95.81
Google Confetti Slim Task Pad,58,197.0,0.06,95.88
Google Beekeepers Youth Tee Pink,14,196.0,0.06,95.94
Google Medium Pet Collar (Blue/Green),7,196.0,0.06,96.01
Google Austin Campus Bottle,17,194.0,0.06,96.07
Google Cork Journal,27,194.0,0.06,96.13
Google Chrome Dino Light Up Water Bottle,10,191.0,0.06,96.19
Snowflake Android Cardboard Sculpture,23,190.0,0.06,96.26
Android Large Trace Journal Black,27,181.0,0.06,96.32
Google Cambridge Campus Unisex Tee,12,180.0,0.06,96.37
Maze Pen,208,180.0,0.06,96.43
Google Mouse Pad Navy,43,177.0,0.06,96.49
Google Cork Pencil Pouch,26,176.0,0.06,96.55
Google Mural Sticker Sheet,76,176.0,0.06,96.61
Google Aluminum Bottle Red,26,175.0,0.06,96.66
Android Lumberjack Pin,40,174.0,0.06,96.72
Google Phone Stand Bamboo,40,169.0,0.06,96.77
Google Felt Luggage Tag,26,168.0,0.05,96.83
Google Large Pet Collar (Blue/Green),6,168.0,0.05,96.88
Google Confetti Accessory Pouch,16,167.0,0.05,96.94
Google Maps Pin,25,163.0,0.05,96.99
Google Tee Blue,18,163.0,0.05,97.04
Google Men's Discovery Lt. Rain Shell,3,160.0,0.05,97.1
Google Sunnyvale Campus Bottle,14,158.0,0.05,97.15
Google Decal,227,153.0,0.05,97.2
Google Women's Pride Eco-Tee Black,12,151.0,0.05,97.25
Gift Card - $50.00,3,150.0,0.05,97.3
Google Mural Tote,10,148.0,0.05,97.34
Google Tee Green,16,146.0,0.05,97.39
Google Chicago Campus Unisex Tee,10,144.0,0.05,97.44
Google Recycled Pen Black,77,142.0,0.05,97.49
Google Women's Black Tee,10,142.0,0.05,97.53
Google Medium Pet Collar (Red/Yellow),5,140.0,0.05,97.58
Google Totepak,7,138.0,0.04,97.62
Google Felt Strap Keyring,13,137.0,0.04,97.67
Google Red Kids Sunglasses,33,137.0,0.04,97.71
Android Small Trace Journal Black,25,135.0,0.04,97.76
Google Cork Key Ring,19,135.0,0.04,97.8
Google Tee Grey,15,135.0,0.04,97.84
Google SF Campus Unisex Tee,9,134.0,0.04,97.89
Stainless Straight Straw/Cleaner,44,130.0,0.04,97.93
Google Austin Campus Ladies Tee,9,126.0,0.04,97.97
Google Chicago Campus Ladies Tee,9,126.0,0.04,98.01
Google Kirkland Campus Ladies Tee,9,126.0,0.04,98.05
Google NYC Campus Unisex Tee,9,126.0,0.04,98.09
Google Pen Citron,121,126.0,0.04,98.14
Google Land & Sea Tech Taco,38,125.0,0.04,98.18
Google Large White Gift Bag 5/PK,12,125.0,0.04,98.22
Google Land & Sea Women's Eco Tee,6,120.0,0.04,98.26
Google Large Pet Collar (Red/Yellow),4,119.0,0.04,98.29
Google Boulder Campus Ladies Tee,8,116.0,0.04,98.33
Google LA Campus Bottle,10,113.0,0.04,98.37
YouTube Small Sticker Sheet,44,112.0,0.04,98.41
Android Iconic Sticker Sheet,42,107.0,0.03,98.44
Android Puzzlebot v2,7,106.0,0.03,98.48
Google Pen Bright Blue,70,106.0,0.03,98.51
Google Recycled Notebook Set Natural,9,105.0,0.03,98.54
Google Mountain View Campus Unisex Tee,7,102.0,0.03,98.58
Gift Card- $100.00,1,100.0,0.03,98.61
Google LA Campus Tote,16,100.0,0.03,98.64
Google Youth F/C Pullover Hoodie,3,96.0,0.03,98.67
Google Cambridge Campus Ladies Tee,6,92.0,0.03,98.7
Google PNW Campus Ladies Tee,6,92.0,0.03,98.73
Google Tee Mint Green,6,92.0,0.03,98.76
Android Hipster Pin,18,89.0,0.03,98.79
Google Pen Red,63,89.0,0.03,98.82
Google Red YoYo,28,89.0,0.03,98.85
Google Blue YoYo,25,88.0,0.03,98.88
#IamRemarkable Lapel Pin,36,86.0,0.03,98.91
Google Pen Lilac,56,85.0,0.03,98.94
Google Tonal Tee Coral,9,85.0,0.03,98.96
Android Iconic Pen,55,84.0,0.03,98.99
Google Austin Campus Unisex Tee,6,84.0,0.03,99.02
Google Pride Sticker,119,84.0,0.03,99.05
#IamRemarkable Pen,5,82.0,0.03,99.07
Google Pen Neon Coral,50,82.0,0.03,99.1
Google Seattle Campus Sticker,75,82.0,0.03,99.13
Google Tee F/C Black,6,82.0,0.03,99.15
Google Striped Penny Pouch,35,81.0,0.03,99.18
Google Jotter Task Pad,27,80.0,0.03,99.2
Google NYC Campus Lapel Pin,25,80.0,0.03,99.23
Google Cork Tablet Case,4,76.0,0.02,99.26
Google LA Campus Sticker,72,76.0,0.02,99.28
Google NYC Campus Sticker,73,76.0,0.02,99.31
Google Pen Grey,51,76.0,0.02,99.33
Android Geek Pin,15,71.0,0.02,99.35
Google Chicago Campus Tote,11,71.0,0.02,99.38
Google Seattle Campus Ladies Tee,5,70.0,0.02,99.4
Google Women's Kirkland Pullover,2,70.0,0.02,99.42
Google Small White Gift Bag 5/PK,10,65.0,0.02,99.44
Google Tech Taco,20,65.0,0.02,99.46
Android Iconic Pin,18,63.0,0.02,99.48
Google Yellow YoYo,20,62.0,0.02,99.51
Google Cloth & Pouch Black,18,60.0,0.02,99.52
Google PNW Campus Tote,9,59.0,0.02,99.54
BLM Unisex Pullover Hoodie,1,58.0,0.02,99.56
Google Medium Pet Leash (Red/Yellow),2,56.0,0.02,99.58
Google Boulder Campus Bottle,5,55.0,0.02,99.6
Google Cambridge Campus Bottle,5,55.0,0.02,99.62
Google Pen Grass Green,36,55.0,0.02,99.63
Android Iconic 4&quot; Decal,40,50.0,0.02,99.65
Google Confetti Pen White,31,48.0,0.02,99.67
YouTube Women's Favorite Tee White,5,47.0,0.02,99.68
Google Boulder Campus Sticker,44,46.0,0.01,99.7
Stainless Bent Straw/Cleaner,22,46.0,0.01,99.71
Google Cambridge Campus Sticker,42,44.0,0.01,99.73
Google SF Campus Lapel Pin,13,44.0,0.01,99.74
Google Recycled Pen Green,25,42.0,0.01,99.75
Google Seattle Campus Unisex Tee,3,42.0,0.01,99.77
Google Austin Campus Lapel Pin,12,39.0,0.01,99.78
#IamRemarkable Tote,6,38.0,0.01,99.79
Android Jotter Task Pad,16,36.0,0.01,99.81
Google Frisbee,29,36.0,0.01,99.82
Google LA Campus Lapel Pin,11,36.0,0.01,99.83
Google Women's Eco Tee Black,2,35.0,0.01,99.84
Google Bottle Cleaner,4,32.0,0.01,99.85
Google Tudes Thermal Bottle,1,32.0,0.01,99.86
Google Sunnyvale Campus Sticker,28,31.0,0.01,99.87
Google Cambridge Campus Tote,5,30.0,0.01,99.88
Google Sunnyvale Campus Tote,5,30.0,0.01,99.89
Google Mountain View Campus Sticker,25,29.0,0.01,99.9
Google Chicago Campus Lapel Pin,8,25.0,0.01,99.91
Android Iconic Bottle Black,1,24.0,0.01,99.92
Google Boulder Campus Tote,4,24.0,0.01,99.92
Google Kirkland Campus Sticker,22,24.0,0.01,99.93
Google PNW Campus Sticker,23,24.0,0.01,99.94
Unisex Google Jumbo Print Tee White,2,24.0,0.01,99.95
Google Seattle Campus Lapel Pin,7,23.0,0.01,99.95
Google PNW Campus Lapel Pin,7,21.0,0.01,99.96
Google Bellevue Campus Sticker,19,20.0,0.01,99.97
Google Tonal Tee Spearmint,2,18.0,0.01,99.97
Google Boulder Campus Lapel Pin,5,17.0,0.01,99.98
Google Cambridge Campus Lapel Pin,5,15.0,0.0,99.98
Google Mountain View Tee Red,1,14.0,0.0,99.99
Google Women's Ringer Tee,1,14.0,0.0,99.99
Android Flex Journal White,3,6.0,0.0,100.0
Google Kirkland Campus Lapel Pin,2,6.0,0.0,100.0
Google Separating Keyring,1,6.0,0.0,100.0
Google Light Pen Yellow,1,2.0,0.0,100.0
