item_name,units_sold,total_revenue,total_orders
Google Men's Softshell Moss,29,2431.0,28
Google Cup Cap Tumbler Grey,29,732.0,24
YouTube Transmission Journal Red,29,411.0,17
Google NYC Campus Ladies Tee,28,396.0,23
White Google Shoreline Bottle,28,596.0,20
Google Sunnyvale Campus Sticker,28,31.0,13
Google Leather Strap Hat Black,28,405.0,26
Google Red YoYo,28,89.0,21
Google Sunnyvale Campus Zip Hoodie,28,896.0,27
Google Mural Bottle,27,529.0,23
Google Kirkland Campus Unisex Tee,27,382.0,18
Google Youth FC Longsleeve Charcoal,27,684.0,23
Google Cork Journal,27,194.0,23
Google Jotter Task Pad,27,80.0,5
Android Large Trace Journal Black,27,181.0,22
Flamingo and Friends Tee Blue,26,424.0,25
Google Toddler Hero Tee Black,26,349.0,21
Google Cork Card Holder,26,360.0,23
Android Super Hero 3D Framed Art,26,420.0,26
Google Cork Pencil Pouch,26,176.0,18
Google Cork Passport Holder,26,426.0,21
Google Toddler Tee White,26,514.0,25
Google Campus Bike Mini Backpack,26,872.0,17
Google Aluminum Bottle Red,26,175.0,22
Google Felt Luggage Tag,26,168.0,20
Google Land & Sea French Terry Sweatshirt,25,1144.0,25
Google NYC Campus Lapel Pin,25,80.0,23
Google Blue YoYo,25,88.0,20
Google Sustainable Pencil Pouch,25,210.0,23
Google Recycled Pen Green,25,42.0,11
Android Small Trace Journal Black,25,135.0,13
Google Youth Hero Tee Maroon,25,500.0,20
Google Maps Pin,25,163.0,23
Android Iconic Hat White,25,336.0,21
Google Mountain View Campus Sticker,25,29.0,10
Google Chicago Campus Bottle,24,275.0,15
Google Mountain View Campus Ladies Tee,24,340.0,20
Google Infant Hero Onesie Grey,24,340.0,17
Google Incognito Dopp Kit V2,24,927.0,16
Mommy Works at Google Book,23,384.0,23
Google PNW Campus Sticker,23,24.0,9
Snowflake Android Cardboard Sculpture,23,190.0,21
Android Garden Tee Orange,23,381.0,20
Android Iconic Hat Green,23,320.0,22
Android Iconic Socks,23,331.0,19
#IamRemarkable Ladies T-Shirt,23,237.0,20
Stan and Friends Toddler Tee Green,23,330.0,20
Google Tudes Recycled Tee,23,576.0,21
Google Tee Red,23,212.0,20
Google Incognito Zip Pack,23,1418.0,23
Google Beekeepers Onesie Pink,22,312.0,19
Google Sherpa Vest Black,22,1466.0,22
Stainless Bent Straw/Cleaner,22,46.0,13
Stan and Friends Onesie Green,22,312.0,20
Android Pocket Tee Green,22,536.0,20
Google Kirkland Campus Sticker,22,24.0,9
Google Color Block Notebook,21,218.0,12
Google Super G Tumbler (Blue Lid),20,458.0,20
Google LA Campus Zip Hoodie,20,677.0,19
Google Raincoat Navy,20,1992.0,20
Google Austin Campus Zip Hoodie,20,640.0,20
Google Women's Tech Fleece Vest Charcoal,20,902.0,17
Google Tech Taco,20,65.0,12
Google Boulder Campus Unisex Tee,20,284.0,18
Google Yellow YoYo,20,62.0,16
Google Chicago Campus Zip Hoodie,20,668.0,18
Android Iconic Backpack,20,400.0,6
Google Cambridge Campus Zip Hoodie,19,635.0,16
Google Cork Key Ring,19,135.0,14
Google Bellevue Campus Sticker,19,20.0,7
Google Sunnyvale Campus Ladies Tee,19,270.0,17
Android Hipster Pin,18,89.0,9
Android Iconic Pin,18,63.0,16
Stan and Friends Youth Tee Green,18,256.0,15
Google Summer19 Crew Grey,18,646.0,18
Google Tee Blue,18,163.0,15
Google Cloth & Pouch Black,18,60.0,6
YouTube Standards Zip Hoodie Black,17,888.0,16
Google Incognito Laptop Organizer,17,831.0,17
Google PNW Campus Unisex Tee,17,242.0,17
Google Toddler Hero Tee Olive,17,323.0,14
Google Austin Campus Bottle,17,194.0,13
Google Beekeepers Toddler Tee Pink,17,242.0,16
YouTube 25 oz Gear Cap Bottle Black,17,394.0,17
Google LA Campus Ladies Tee,17,250.0,12
Google LA Campus Tote,16,100.0,14
Google Tee Green,16,146.0,16
Google Confetti Accessory Pouch,16,167.0,14
Android Jotter Task Pad,16,36.0,10
Google Knit Blanket,15,1069.0,14
Essential Canvas Tote,15,383.0,13
Google Tee Grey,15,135.0,14
Google Mural Notebook,15,228.0,15
Google SF Campus Ladies Tee,15,218.0,12
Youth Jumbo Print Tee White,15,237.0,11
Android Pocket Youth Tee Navy,15,320.0,11
Android Geek Pin,15,71.0,6
Google Sunnyvale Campus Bottle,14,158.0,10
Google Sunnyvale Campus Unisex Tee,14,208.0,13
Google Boulder Campus Zip Hoodie,14,448.0,14
Google Beekeepers Youth Tee Pink,14,196.0,10
Google Felt Strap Keyring,13,137.0,12
Mural Food Container,13,437.0,12
Google Mountain View Campus Zip Hoodie,13,416.0,13
Google SF Campus Lapel Pin,13,44.0,13
Supernatural Paper Tote,13,298.0,13
Supernatural Paper Lunch Sack,13,247.0,12
Google Women's Pride Eco-Tee Black,12,151.0,10
Google Large White Gift Bag 5/PK,12,125.0,10
Google Women's Tech Fleece Grey,12,888.0,11
Google Laptop Sleeve Charcoal,12,204.0,11
Google Austin Campus Lapel Pin,12,39.0,11
Google Cambridge Campus Unisex Tee,12,180.0,12
Google Incognito Messenger Bag,11,690.0,11
Google Chicago Campus Tote,11,71.0,7
Google LA Campus Lapel Pin,11,36.0,11
Google Shoreline Water Bottle,11,246.0,10
Google Women's Softshell Moss,11,869.0,11
Google Women's Black Tee,10,142.0,9
Google Small White Gift Bag 5/PK,10,65.0,9
Google Chicago Campus Unisex Tee,10,144.0,10
Google Mural Tote,10,148.0,10
Google Chrome Dino Light Up Water Bottle,10,191.0,7
Android Pocket Youth Tee Green,10,220.0,10
Google LA Campus Bottle,10,113.0,10
Google PNW Campus Tote,9,59.0,6
Google Kirkland Campus Ladies Tee,9,126.0,8
Google Austin Campus Ladies Tee,9,126.0,9
Google Chicago Campus Ladies Tee,9,126.0,8
Google NYC Campus Unisex Tee,9,126.0,9
Google Tonal Tee Coral,9,85.0,7
Google Recycled Notebook Set Natural,9,105.0,9
Google SF Campus Unisex Tee,9,134.0,9
Google Chicago Campus Lapel Pin,8,25.0,7
Google Boulder Campus Ladies Tee,8,116.0,8
Gift Card - $25.00,8,200.0,8
Google Medium Pet Leash (Blue/Green),8,224.0,7
Google Large Pet Leash (Blue/Green),7,203.0,7
Google Mountain View Campus Unisex Tee,7,102.0,6
Google Youth FC Zip Hoodie,7,252.0,6
Google Medium Pet Collar (Blue/Green),7,196.0,6
Google Totepak,7,138.0,7
Google PNW Campus Lapel Pin,7,21.0,7
Google Seattle Campus Lapel Pin,7,23.0,7
Android Puzzlebot v2,7,106.0,7
Google Large Pet Leash (Red/Yellow),7,210.0,7
Google Land & Sea Women's Eco Tee,6,120.0,6
Google Tee F/C Black,6,82.0,5
Google Tee Mint Green,6,92.0,6
Google Austin Campus Unisex Tee,6,84.0,6
Supernatural Paper Backpack,6,276.0,6
Google PNW Campus Ladies Tee,6,92.0,6
#IamRemarkable Tote,6,38.0,6
Google Large Pet Collar (Blue/Green),6,168.0,6
Google Cambridge Campus Ladies Tee,6,92.0,5
YouTube Women's Favorite Tee White,5,47.0,5
Google Seattle Campus Ladies Tee,5,70.0,5
Google Cambridge Campus Lapel Pin,5,15.0,5
Google Women's Discovery Lt. Rain Shell,5,245.0,5
Google Boulder Campus Bottle,5,55.0,4
Google Sunnyvale Campus Tote,5,30.0,5
Google Mens Microfleece Jacket Black,5,221.0,5
Google Medium Pet Collar (Red/Yellow),5,140.0,5
Google Cambridge Campus Bottle,5,55.0,5
Google Boulder Campus Lapel Pin,5,17.0,4
#IamRemarkable Pen,5,82.0,4
Google Cambridge Campus Tote,5,30.0,4
Google Boulder Campus Tote,4,24.0,4
Google Incognito Flap Pack,4,240.0,4
Google Cork Tablet Case,4,76.0,4
Google Large Pet Collar (Red/Yellow),4,119.0,4
Google Bottle Cleaner,4,32.0,3
Android Flex Journal White,3,6.0,2
Google Men's Discovery Lt. Rain Shell,3,160.0,3
Gift Card - $50.00,3,150.0,3
Google Youth F/C Pullover Hoodie,3,96.0,3
Google Seattle Campus Unisex Tee,3,42.0,2
Google Women's Eco Tee Black,2,35.0,1
Google Tonal Tee Spearmint,2,18.0,2
Google Women's Kirkland Pullover,2,70.0,2
Unisex Google Jumbo Print Tee White,2,24.0,2
Google Medium Pet Leash (Red/Yellow),2,56.0,2
Google Kirkland Campus Lapel Pin,2,6.0,2
Google Women's Ringer Tee,1,14.0,1
Google Light Pen Yellow,1,2.0,1
Android Iconic Bottle Black,1,24.0,1
BLM Unisex Pullover Hoodie,1,58.0,1
Google Mountain View Tee Red,1,14.0,1
Gift Card- $100.00,1,100.0,1
Google Separating Keyring,1,6.0,1
Google Tudes Thermal Bottle,1,32.0,1
