item_name,view_users,purchase_users
Google Mesh Bag Blue,4295,30
Google Tudes Recycled Tee,4256,21
Mural Food Container,4244,11
Google Phone Stand Bamboo,4218,28
Google Woodtop Bottle Black,4168,48
Google Mouse Pad Navy,4108,25
Google Women's Puff Jacket Black,4009,39
Google Bottle Cleaner,3905,3
Google Jotter Task Pad,3839,5
Google Men's Puff Jacket Black,3773,51
Google Small Cable Organizer Blue,3757,19
Google Women's Grid Zip-Up,3753,49
#IamRemarkable Ladies T-Shirt,3643,20
Google See-No Hear-No Set,3584,36
Android Jotter Task Pad,3458,10
Android Iconic Pin,3373,16
Google LoveHandle Black,3266,25
Google Toddler FC Tee Charcoal,3229,38
Google Black Tee,3168,0
Google Laptop and Cell Phone Stickers,3136,122
Google Pocket Tee Grey,3107,0
Google Cloud  Unisex Zip Hoodie,3087,0
Google Unisex Pride Eco-Tee Black,3018,0
YouTube 25 oz Gear Cap Bottle Black,3017,15
Google Metallic Notebook Set,2992,112
Google Thermal Tumbler Navy,2975,67
Google Large Standard Journal Grey,2963,62
#IamRemarkable Unisex T-Shirt,2942,43
Google Youth FC Tee Charcoal,2937,28
Google Black Cork Journal,2907,65
Google Camp Mug Ivory,2904,167
Google Cloud Pen,2850,42
Google Perk Thermal Tumbler,2841,86
Google Crewneck Sweatshirt Grey,2839,73
Google Super G Tumbler (Red Lid),2838,39
Google Youth FC Longsleeve Charcoal,2834,23
Google Pen White,2823,98
Google Recycled Pen Black,2777,35
Google Super G Tumbler (Blue Lid),2755,17
Google Split Seam Tee Olive,2725,31
Snowflake Android Cardboard Sculpture,2706,21
Google Clear Pen 4-Pack,2702,123
Google Emoji Sticker Pack,2677,46
Google Cotopaxi Shell,2656,66
Android Pocket Onesie Navy,2601,45
Google Cambridge Campus Sticker,2572,18
Google Confetti Slim Task Pad,2490,20
Google Mini Kick Ball,2481,30
Google NYC Campus Sticker,2475,39
#IamRemarkable Unisex Hoodie,2451,27
Google Cambridge Campus Zip Hoodie,2424,16
Google Canteen Bottle Black,2421,106
Google Aluminum Bottle Red,2407,21
Google NYC Campus Bottle,2342,32
Google Women's Eco Tee Black,2291,1
Android Buoy Bottle,2282,47
Candy Cane Android Cardboard Sculpture,2275,0
Google NYC Campus Mug,2207,81
Google Infant Hero Tee Olive,2200,35
Google Camp Mug Gray,2183,84
Google Cambridge Campus Mug,2170,40
Google Cambridge Campus Bottle,2164,5
Google Toddler Tee White,2163,25
Google NYC Campus Lapel Pin,2148,23
Google Cambridge Campus Unisex Tee,2144,12
Google Cambridge Campus Ladies Tee,2141,5
Google Crew Combed Cotton Sock,2131,73
Google Cambridge Campus Tote,2113,4
Google Color Block Notebook,2111,12
Google Bear Baby Blanket Beige,2094,33
Google Bot (Multicolored),2084,36
Google Light Pen Blue,2060,83
Google 24oz Ring Bottle Blue,2016,41
Google Decal,2014,48
Google Sunglasses,1990,61
Google Campus Bike,1986,89
Google Youth Hero Tee Grey,1982,26
Google Chrome Dino Light Up Water Bottle,1973,7
Google Toddler FC Zip Hoodie,1973,71
Supernatural Paper Backpack,1937,4
Maze Pen,1906,44
Google Hemp Tote,1840,48
Google Mural Sticker Sheet,1807,60
Google Mountain View Tee Blue,1794,0
#IamRemarkable Journal,1757,34
Flamingo and Friends Tee Blue,1754,25
Google Pen Citron,1729,47
Android Iconic Sticker Sheet,1717,12
Google Toddler Hero Tee Black,1712,21
Google Men's Tech Fleece Vest Charcoal,1707,57
Google Campus Bike Grid Task Pad,1702,20
Google Tee Blue,1669,15
Android Iconic 4&quot; Decal,1663,14
Google Youth Hero Tee Maroon,1654,20
Google Shoreline Water Bottle,1631,10
Google Youth Badge Tee Navy,1613,24
Supernatural Paper Lunch Sack,1599,12
Google Youth Badge Tee Olive,1574,30
Android Pocket Toddler Tee Navy,1571,27
Google Tee Red,1533,20
Google Tee Dark Blue,1528,0
Google Clear Framed Yellow Shades,1519,38
Google ApPeel Journal Red,1487,17
Google Pride Sticker,1482,39
Google Infant Charcoal Onesie,1446,40
Supernatural Paper Tote,1427,10
Google Light Pen Red,1426,65
Google Crew Striped Athletic Sock,1419,53
Google Incognito Zip Pack,1419,23
Google Tracking Hat,1414,0
Google Confetti Task Pad,1384,22
Google Men's Softshell Moss,1377,27
Google Toddler Hero Tee Olive,1355,14
Google Recycled Pen Green,1339,11
Google Felt Luggage Tag,1324,20
Google KeepCup,1308,36
Google Tee F/C Black,1295,5
Google Cloth & Pouch Black,1291,6
Google Cork Card Holder,1277,23
Google Pen Bright Blue,1273,45
Google Cork Pencil Pouch,1262,18
Google Tee Grey,1257,14
Google Cork Passport Holder,1245,21
Google Cork Tablet Case,1174,4
Google Mountain View Campus Unisex Tee,1166,6
Google Cork Key Ring,1157,14
Google Knit Blanket,1143,14
Google Tonal Tee Spearmint,1134,2
Google Premium Sunglasses,1130,29
Google Youth FC Zip Hoodie,1111,6
Google Light Pen Green,1111,56
Android Iconic Socks,1108,19
Google Tonal Tee Coral,1104,7
Google Mural Sticky Note Pad,1087,44
Google Mural Socks,1082,32
Stan and Friends Onesie Green,1055,20
Google Red Kids Sunglasses,1052,23
Android Pocket Tee Navy,1049,53
Google Frisbee,1020,17
Google Pen Grey,1014,28
Google Black Cloud Zip Hoodie,1002,46
Stainless Straight Straw/Cleaner,1002,19
Google Campus Bike Corkbase Mug Blue,985,43
Google Packable Bag Black,978,46
Google Pen Grass Green,970,26
White Google Shoreline Bottle,955,20
Google Raincoat Navy,944,20
Google Mens Microfleece Jacket Black,942,5
Android Pocket Onesie White,934,0
Google Women's Tech Fleece Vest Charcoal,928,17
Google Youth F/C Pullover Hoodie,922,3
Google Confetti Pen White,912,21
Google Incognito Flap Pack,905,4
Google Lightweight Crew Sweatshirt Grey,897,0
#IamRemarkable Pen,896,4
Google Stylus Pen w/ LED Light,834,0
Google Campus Bike Mini Backpack,820,17
Google Blue Kids Sunglasses,812,39
Google Striped Penny Pouch,810,15
Google Mountain View Campus Sticker,792,10
Android Iconic Bottle Black,786,1
Google NYC Campus Zip Hoodie,779,61
Google Mural Notebook,778,13
Google Recycled Writing Set,771,42
Google Sunnyvale Campus Sticker,767,13
Google Mural Mug,763,41
Google Men's Discovery Lt. Rain Shell,746,3
Android Iconic Pen,744,19
Google Incognito Dopp Kit V2,738,15
Google Mountain View Campus Zip Hoodie,722,13
Android Pocket Toddler Tee White,714,0
Google 16 oz Tumbler Blue,700,14
Google Incognito Techpack V2,697,24
Android Pocket Youth Tee Green,680,10
Google LA Campus Sticker,676,32
Google Twill Cap Charcoal,676,30
Google PNW Campus Sticker,675,9
Google Kids Playful Tee,674,0
Google Seattle Campus Sticker,662,27
Google Sunnyvale Campus Zip Hoodie,651,25
Google Magnet,647,84
Google Boulder Campus Sticker,640,21
Google Felt Refillable Journal,640,23
Google NYC Campus Unisex Tee,636,9
Android Iconic Backpack,634,6
Google Jumbo Print Tee White,631,0
Google Chrome Dinosaur Collectible,621,51
Essential Canvas Tote,610,13
Android Pocket Youth Tee Navy,601,11
Google Bellevue Campus Sticker,591,7
Google Kirkland Campus Sticker,589,9
Google Women's Tech Fleece Grey,569,11
Google Sherpa Vest Black,564,22
Google Tee Mint Green,539,6
Google SF Campus Zip Hoodie,538,28
Google Youth Jumbo Print Tee White,530,0
Google NYC Campus Ladies Tee,525,22
Google Clear Framed Gray Shades,520,35
Android Lumberjack Pin,519,25
Google Sustainable Pencil Pouch,519,23
Google Women's Black Tee,518,9
Google Austin Campus Zip Hoodie,514,18
Android Iconic Notebook,508,7
Google Chicago Campus Zip Hoodie,507,16
Google Utensil Set,500,31
Google Soft Modal Scarf,495,32
Google Sunnyvale Campus Mug,494,50
Daddy Works at Google Book,487,39
Android Puzzlebot v2,475,3
Google Women's Discovery Lt. Rain Shell,466,5
Google Seaport Tote,462,24
Google Infant Hero Onesie Grey,461,17
Google 24 oz Ring Bottle Red,460,27
#IamRemarkable Lapel Pin,459,13
Google Women's Softshell Moss,456,11
Google Women's Kirkland Pullover,449,2
Google Clear Framed Blue Shades,448,47
Google Incognito Laptop Organizer,445,15
Google Boulder Campus Zip Hoodie,423,13
Google Sunnyvale Campus Unisex Tee,420,13
Google LA Campus Zip Hoodie,415,19
Android Hipster Pin,405,9
Google Mountain View Campus Ladies Tee,375,20
Google Women's Pride Eco-Tee Black,372,10
Google Pen Lilac,366,31
Google Sunnyvale Campus Ladies Tee,359,17
Mommy Works at Google Book,355,23
Google SF Campus Unisex Tee,347,9
Google Beekeepers Onesie Pink,346,19
Stan and Friends Youth Tee Green,345,13
Google Austin Campus Mug,336,69
Google Sunnyvale Campus Bottle,329,10
Google Pen Neon Coral,304,30
Google LA Campus Mug,294,49
Android Geek Pin,294,6
Google SF Campus Bottle,291,25
Google Seattle Campus Mug,285,58
Google Beekeepers Toddler Tee Pink,276,15
Google Austin Campus Unisex Tee,275,6
Google Women's Ringer Tee,274,1
Google Chicago Campus Mug,273,51
Android Pocket Tee Green,270,20
Google Sunnyvale Campus Tote,266,5
Google Color Block Tote White,261,0
Google Keychain,259,62
Google Recycled Notebook Set Natural,257,9
Google PNW Campus Zip Hoodie,253,27
Google Cork Journal,251,19
Google PNW Campus Mug,247,55
#IamRemarkable Tote,243,6
Stan and Friends Toddler Tee Green,241,19
Google Cambridge Campus Lapel Pin,239,5
Google Totepak,226,7
Google Bot,225,32
Google Women's Short Sleeve Hero Dark Grey,225,0
Google Chicago Campus Unisex Tee,222,9
Google SF Campus Ladies Tee,220,12
Google LA Campus Unisex Tee,216,33
Google Mural Tote,214,10
Google Maps Pin,208,23
Google Lapel Pin,207,38
Google Boulder Campus Mug,206,30
Google Austin Campus Bottle,200,13
Google SF Campus Lapel Pin,193,13
Google Chicago Campus Bottle,193,14
Google Mountain View Tee Red,192,1
Google Austin Campus Ladies Tee,189,9
Google Yellow YoYo,183,16
Google PNW Campus Unisex Tee,182,17
Google Pen Red,180,27
Google LA Campus Bottle,174,10
Google Kirkland Campus Mug,170,18
Google Beekeepers Youth Tee Pink,162,10
Google Boulder Campus Unisex Tee,158,18
Google SF Campus Tote,156,31
Google Seattle Campus Unisex Tee,152,2
Google Chicago Campus Ladies Tee,150,8
Google PNW Campus Bottle,149,9
Google Austin Campus Tote,146,16
Google Large White Gift Bag 5/PK,141,10
Google Red YoYo,135,21
Google Small White Gift Bag 5/PK,133,9
Google Boulder Campus Bottle,131,4
"Android Iconic 4"" Decal",130,0
Google Chicago Campus Tote,129,7
Google Emoji Magnet Set,127,34
Google LA Campus Lapel Pin,127,11
Google LA Campus Ladies Tee,124,12
Google Felt Strap Keyring,123,12
Google Confetti Tote White,116,0
Google Blue YoYo,111,20
Google Light Pen Yellow,111,1
Google Medium Pet Collar (Blue/Green),110,6
Google Seattle Campus Ladies Tee,108,5
Google Boulder Campus Ladies Tee,105,7
Google Seattle Campus Lapel Pin,101,7
Google PNW Campus Lapel Pin,100,7
Google Austin Campus Lapel Pin,98,11
Google PNW Campus Tote,95,6
Google Kirkland Campus Unisex Tee,94,18
Google Large Pet Collar (Blue/Green),94,6
Google LA Campus Tote,92,14
Google Medium Pet Collar (Red/Yellow),92,5
Google Boulder Campus Lapel Pin,91,4
Google Mountain View Campus Mug,87,0
Google Large Pet Leash (Blue/Green),86,7
Google Medium Pet Leash (Blue/Green),84,7
Google Medium Pet Leash (Red/Yellow),81,2
Google Chicago Campus Lapel Pin,71,7
Google Large Pet Collar (Red/Yellow),69,4
Google Large Pet Leash (Red/Yellow),67,7
Google Kirkland Campus Ladies Tee,67,8
Google Felt Mason Jar,63,0
Google SF Campus Mug,63,0
Google Tudes Thermal Bottle,59,1
Google Mountain View Campus Bottle,56,0
Google Kirkland Campus Lapel Pin,54,2
Android Flex Journal White,53,2
Google PNW Campus Ladies Tee,52,6
Google Mountain View Campus Tote,39,0
Google Boulder Campus Tote,35,4
Gift Card - $25.00,35,5
Google Green YoYo,34,0
Android Cardboard Sculpture,33,0
White Google Cloud Tumbler,33,0
Gift Card - $50.00,32,3
Google Charcoal Unisex Badge Tee,32,0
Google Grey Women's Tee,30,0
Gift Card - $10.00,29,0
Gift Card - $250.00,27,0
BLM Unisex Pullover Hoodie,26,1
Google Separating Keyring,24,1
Gift Card- $100.00,13,1
Google Inverted Umbrella,9,0
(not set),9,0
Google Tritan Bottle Gray,6,0
Google 5K Run 2020 Unisex Tee,1,0
Womens Google Striped LS,0,75
Unisex Google Pocket Tee Grey,0,42
Google F/C Longsleeve Ash,0,119
Google Unisex Eco Tee Black,0,84
Google F/C Longsleeve Charcoal,0,112
Google Summer19 Crew Grey,0,17
Youth Jumbo Print Tee White,0,11
Unisex Google Jumbo Print Tee White,0,2
